OrderID,OrderDate,Region,Category,Product,CustomerSegment,Quantity,UnitPrice,Discount,Sales,Profit
ORD-10000,2023-04-13,Central,Electronics,Smartphone,Consumer,8,229.42,0.0,1835.36,170.43
ORD-10001,2023-12-10,West,Furniture,Desk,Consumer,9,504.86,0.0,4543.74,1061.22
ORD-10002,2023-07-09,West,Furniture,Bookshelf,Home Office,7,394.74,0.0,2763.18,192.08
ORD-10003,2023-08-30,South,Furniture,Chair,Consumer,8,223.18,0.0,1785.44,576.33
ORD-10004,2023-01-02,West,Furniture,Desk,Corporate,4,680.14,0.05,2584.53,844.01
ORD-10005,2024-12-02,South,Electronics,Keyboard,Home Office,9,1003.05,,9027.45,898.95
ORD-10006,2023-05-09,East,Office Supplies,Stapler,Consumer,7,37.15,0.1,234.04,75.94
ORD-10007,2023-02-02,East,Office Supplies,Folder,Corporate,3,8.94,0.1,24.14,5.27
ORD-10008,2024-01-28,South,Office Supplies,Pen Set,Consumer,4,29.57,0.2,94.62,11.81
ORD-10009,2023-02-05,East,Electronics,Smartphone,Corporate,5,1062.54,0.15,4515.8,1314.56
ORD-10010,2023-11-27,North,Furniture,Sofa,Home Office,9,246.82,,1888.17,581.97
ORD-10011,2024-10-10,North,Furniture,Lamp,Home Office,8,225.54,0.1,1623.89,258.34
ORD-10012,2024-05-24,East,Office Supplies,Pen Set,Consumer,2,17.47,0.05,33.19,2.17
ORD-10013,2024-02-07,Central,Furniture,Desk,Corporate,8,223.96,0.0,1791.68,481.0
ORD-10014,2023-07-17,North,Furniture,Bookshelf,Consumer,4,181.75,0.0,727.0,84.38
ORD-10015,2023-05-28,North,Office Supplies,Printer Paper,Consumer,9,50.59,0.0,455.31,149.07
ORD-10016,2023-05-24,West,Furniture,Chair,Consumer,5,110.76,0.15,470.73,50.19
ORD-10017,2023-07-27,North,Office Supplies,Printer Paper,Home Office,3,40.8,0.0,122.4,40.64
ORD-10018,2023-12-04,Central,Furniture,Bookshelf,Consumer,4,53.74,0.0,214.96,58.74
